Ticker,Sector,Entry,EntryRaw,Score,Close,MktCap_KRW_T,Avg$Vol,VolRatio,RSI,ATR%,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,RR,Shares,PosValue,MktPref,P,Promoted
AVGO,Technology,BUY_PULLBACK,BUY_PULLBACK,32,343.94,2307.9,9375426155,1.06,56.4,4.7,SMA50(350.53) 눌림 후 반등,343.94 부근 분할 또는 직전 고가 상향 시,SMA50(350.53) 이탈 또는 Stop 311.58,"MACD 상향크로스, RSI 56",CROSS_UP,RSI 56.4,343.94,311.58,414.61,2.18,12.0,4127.28,0,1,False
SRE,Utilities,BUY_PULLBACK,BUY_PULLBACK,31,87.48,83.5,416817572,0.77,43.7,2.1,SMA20(87.85) 눌림 후 반등,87.48 부근 분할 또는 직전 고가 상향 시,SMA20(87.85) 이탈 또는 Stop 83.81,"MACD 완만개선, RSI 44",,RSI 43.7 | ✅ 50~100조 선호,87.48,83.81,95.05,2.06,112.0,9797.76,1,1,False
SCHW,Financial Services,WATCH_BREAKOUT,WATCH_BREAKOUT,52,107.21,279.2,1039494602,1.01,68.2,2.42,트리거: 107.27 상향 돌파(20D High),107.27 돌파+거래량 동반 시,SMA50(99.99) 이탈 또는 Stop 102.03,"20D high 근접, MACD 상향크로스, RSI 68",CROSS_UP,현재 Vol 1.01x,,,,,,,0,2,False
DIA,Unknown,WATCH_BREAKOUT,WATCH_BREAKOUT,51,501.22,59.6,3380154631,0.93,67.3,1.24,트리거: 502.16 상향 돌파(20D High),502.16 돌파+거래량 동반 시,SMA50(486.92) 이탈 또는 Stop 488.82,"20D high 근접, MACD 완만개선, RSI 67",,현재 Vol 0.93x | ✅ 50~100조 선호,,,,,,,1,2,False
OXY,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,51,46.66,66.8,507298495,0.6,68.5,3.08,트리거: 46.95 상향 돌파(20D High),46.95 돌파+거래량 동반 시,SMA50(42.48) 이탈 또는 Stop 43.79,"20D high 근접, MACD 완만개선, RSI 69",,현재 Vol 0.60x | ✅ 50~100조 선호,,,,,,,1,2,False
ROST,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,51,194.5,90.8,468737122,0.77,59.9,1.9,트리거: 194.92 상향 돌파(20D High),194.92 돌파+거래량 동반 시,SMA50(185.01) 이탈 또는 Stop 187.10,"20D high 근접, MACD 완만개선, RSI 60",,현재 Vol 0.77x | ✅ 50~100조 선호,,,,,,,1,2,False
FTNT,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,49,85.93,92.8,605144607,1.31,72.6,3.66,트리거: 86.17 상향 돌파(20D High),86.17 돌파+거래량 동반 시,SMA50(80.59) 이탈 또는 Stop 79.65,"20D high 근접, Vol 1.3x (약), MACD 완만개선",,현재 Vol 1.31x | ✅ 50~100조 선호,,,,,,,1,2,False
ARM,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,43,124.61,192.3,960163370,0.79,67.4,5.82,트리거: 125.25 상향 돌파(20D High),125.25 돌파+거래량 동반 시,SMA50(118.47) 이탈 또는 Stop 110.11,"20D high 근접, MACD 완만개선, RSI 67",,현재 Vol 0.79x,,,,,,,0,2,False
APD,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,41,286.37,92.3,401466812,0.69,74.7,2.31,트리거: 287.81 상향 돌파(20D High),287.81 돌파+거래량 동반 시,SMA50(257.58) 이탈 또는 Stop 273.14,"20D high 근접, MACD 완만개선",,현재 Vol 0.69x | ✅ 50~100조 선호,,,,,,,1,2,False
SPY,Unknown,WATCH_BREAKOUT,WATCH_BREAKOUT,40,693.95,927.9,59261945592,0.86,63.9,1.19,트리거: 697.84 상향 돌파(20D High),697.84 돌파+거래량 동반 시,SMA50(686.91) 이탈 또는 Stop 677.47,"20D high 근접, RSI 64",,현재 Vol 0.86x,,,,,,,0,2,False
BKR,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,38,59.55,85.2,595308718,0.81,78.8,3.13,트리거: 59.84 상향 돌파(20D High),59.84 돌파+거래량 동반 시,SMA50(50.44) 이탈 또는 Stop 55.82,20D high 근접,,현재 Vol 0.81x | ✅ 50~100조 선호,,,,,,,1,2,False
KMI,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,38,30.99,99.3,466684649,0.74,75.2,2.45,트리거: 31.12 상향 돌파(20D High),31.12 돌파+거래량 동반 시,SMA50(27.96) 이탈 또는 Stop 29.47,20D high 근접,,현재 Vol 0.74x | ✅ 50~100조 선호,,,,,,,1,2,False
XLE,Unknown,WATCH_BREAKOUT,WATCH_BREAKOUT,33,53.64,14.5,2703514722,0.72,82.5,2.1,트리거: 53.72 상향 돌파(20D High),53.72 돌파+거래량 동반 시,SMA50(47.05) 이탈 또는 Stop 51.39,"20D high 근접, MACD 완만개선",,현재 Vol 0.72x,,,,,,,0,2,False
JNJ,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,33,238.64,846.5,2255477142,0.93,91.7,1.68,트리거: 240.94 상향 돌파(20D High),240.94 돌파+거래량 동반 시,SMA50(213.90) 이탈 또는 Stop 230.60,"20D high 근접, MACD 완만개선",,현재 Vol 0.93x,,,,,,,0,2,False
BAC,Financial Services,WATCH_BREAKOUT,WATCH_BREAKOUT,33,56.41,604.4,2208713344,0.77,78.1,1.84,트리거: 56.87 상향 돌파(20D High),56.87 돌파+거래량 동반 시,SMA50(54.37) 이탈 또는 Stop 54.33,"20D high 근접, MACD 완만개선",,현재 Vol 0.77x,,,,,,,0,2,False
CAT,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,33,742.12,498.1,1939700891,0.86,75.5,3.58,트리거: 743.50 상향 돌파(20D High),743.50 돌파+거래량 동반 시,SMA50(618.96) 이탈 또는 Stop 688.93,"20D high 근접, MACD 완만개선",,현재 Vol 0.86x,,,,,,,0,2,False
HON,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,33,239.84,235.2,1148823332,0.58,81.3,1.91,트리거: 240.95 상향 돌파(20D High),240.95 돌파+거래량 동반 시,SMA50(206.99) 이탈 또는 Stop 230.68,"20D high 근접, MACD 완만개선",,현재 Vol 0.58x,,,,,,,0,2,False
ETN,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,33,377.06,213.1,1133177561,0.87,74.8,3.44,트리거: 380.52 상향 돌파(20D High),380.52 돌파+거래량 동반 시,SMA50(336.72) 이탈 또는 Stop 351.15,"20D high 근접, MACD 완만개선",,현재 Vol 0.87x,,,,,,,0,2,False
MCD,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,33,325.6,341.8,982851903,0.85,88.0,1.48,트리거: 328.06 상향 돌파(20D High),328.06 돌파+거래량 동반 시,SMA50(311.46) 이탈 또는 Stop 315.95,"20D high 근접, MACD 완만개선",,현재 Vol 0.85x,,,,,,,0,2,False
CME,Financial Services,WATCH_BREAKOUT,WATCH_BREAKOUT,33,307.24,159.1,650540053,1.03,94.7,1.8,트리거: 307.84 상향 돌파(20D High),307.84 돌파+거래량 동반 시,SMA50(277.71) 이탈 또는 Stop 296.19,"20D high 근접, MACD 완만개선",,현재 Vol 1.03x,,,,,,,0,2,False
AEP,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,26,121.1,94.7,403788716,0.78,57.9,1.81,트리거: 122.44 상향 돌파(20D High),122.44 돌파+거래량 동반 시,SMA50(117.37) 이탈 또는 Stop 116.71,"MACD 완만개선, RSI 58",,현재 Vol 0.78x | ✅ 50~100조 선호,,,,,,,1,2,False
O,Real Estate,WATCH_BREAKOUT,WATCH_BREAKOUT,26,63.09,85.0,392782150,0.74,59.5,1.55,트리거: 63.90 상향 돌파(20D High),63.90 돌파+거래량 동반 시,SMA50(58.85) 이탈 또는 Stop 61.14,"MACD 완만개선, RSI 59",,현재 Vol 0.74x | ✅ 50~100조 선호,,,,,,,1,2,False
COST,Consumer Defensive,WATCH_BREAKOUT,WATCH_BREAKOUT,18,997.59,650.7,2515299659,0.72,61.9,2.01,트리거: 1009.62 상향 돌파(20D High),1009.62 돌파+거래량 동반 시,SMA50(917.00) 이탈 또는 Stop 957.44,"MACD 완만개선, RSI 62",,현재 Vol 0.72x,,,,,,,0,2,False
DLR,Real Estate,WATCH_BREAKOUT,WATCH_BREAKOUT,16,172.13,87.9,333652826,1.1,75.4,2.56,트리거: 173.90 상향 돌파(20D High),173.90 돌파+거래량 동반 시,SMA50(158.96) 이탈 또는 Stop 163.33,MACD 완만개선,,현재 Vol 1.10x | ✅ 50~100조 선호,,,,,,,1,2,False
BDX,Healthcare,WATCH_PULLBACK,WATCH_PULLBACK,40,207.39,87.6,434370386,1.74,57.0,2.68,SMA20(204.90) 부근 눌림 진행,반등 캔들 확인 후,SMA20(204.90) 이탈 또는 Stop 196.28,"Vol 1.7x, MACD 완만개선, RSI 57",,RSI 57.0 | ✅ 50~100조 선호,,,,,,,1,3,False
F,Consumer Cyclical,WATCH_PULLBACK,WATCH_PULLBACK,23,13.59,80.5,854685875,0.96,56.6,2.08,SMA20(13.76) 부근 눌림 진행,반등 캔들 확인 후,SMA20(13.76) 이탈 또는 Stop 13.03,RSI 57,,RSI 56.6 | ✅ 50~100조 선호,,,,,,,1,3,False
LLY,Healthcare,WATCH_PULLBACK,WATCH_PULLBACK,18,1044.67,1388.8,3722273276,0.97,50.4,4.29,SMA20(1052.00) 부근 눌림 진행,반등 캔들 확인 후,SMA20(1052.00) 이탈 또는 Stop 955.11,"MACD 완만개선, RSI 50",,RSI 50.4,,,,,,,0,3,False
