Ticker,Sector,Entry,EntryRaw,Score,Close,MktCap_KRW_T,Avg$Vol,VolRatio,RSI,ATR%,ADX,RS_vs_SPY,PctOff52H,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,RR,EV,Prob,Shares,PosValue,MktPref,P,Promoted
EPD,Energy,BUY_BREAKOUT,BUY_BREAKOUT,52,37.21,118.0,204873765,1.56,80.5,2.28,54.3,종목 14.1% vs SPY -1.5%,0.3,20D High 35.92 돌파 + Vol 1.56x (기준 1.5x),37.21 위에서 분할(돌파 유지 시),SMA50(32.95) 이탈 또는 Stop 35.51,"20D high 근접, Vol 1.6x, MACD 완만개선",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,37.21,35.51,40.61,2.0,1.48,0.83,244.0,9079.0,0,0,False
ETR,Utilities,BUY_BREAKOUT,BUY_BREAKOUT,64,105.07,65.2,291937081,2.08,87.9,2.15,34.6,종목 9.8% vs SPY -1.5%,0.6,20D High 102.94 돌파 + Vol 2.08x (기준 1.5x),105.07 위에서 분할(돌파 유지 시),SMA50(94.73) 이탈 또는 Stop 100.56,"20D high 근접, Vol 2.1x (강함), MACD 완만개선",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입 | ✅ 50~100조 선호,105.07,100.56,113.98,1.98,1.64,0.88,92.0,9666.0,1,0,False
FLS,Industrials,BUY_BREAKOUT,BUY_BREAKOUT,52,89.69,16.7,135709868,1.93,86.7,3.28,48.1,종목 17.1% vs SPY -1.5%,0.9,20D High 89.25 돌파 + Vol 1.93x (기준 1.5x),89.69 위에서 분할(돌파 유지 시),SMA50(75.45) 이탈 또는 Stop 83.81,"20D high 근접, Vol 1.9x, MACD 완만개선",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,89.69,83.81,101.32,1.98,1.61,0.87,70.0,6278.0,0,0,False
AKAM,Technology,BUY_BREAKOUT,BUY_BREAKOUT,37,111.76,19.9,416687973,1.74,67.1,4.24,23.5,종목 22.1% vs SPY -1.5%,1.5,20D High 106.80 돌파 + Vol 1.74x (기준 1.5x),111.76 위에서 분할(돌파 유지 시),SMA50(91.34) 이탈 또는 Stop 102.28,"Vol 1.7x, MACD 완만개선, RSI 67",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,111.76,102.28,130.35,1.96,1.54,0.86,43.0,4806.0,0,0,False
ES,Utilities,BUY_BREAKOUT,BUY_BREAKOUT,37,73.36,38.1,190128868,1.57,63.5,2.41,21.4,종목 5.3% vs SPY -1.5%,2.5,20D High 71.60 돌파 + Vol 1.57x (기준 1.5x),73.36 위에서 분할(돌파 유지 시),SMA50(68.35) 이탈 또는 Stop 69.82,"Vol 1.6x, MACD 완만개선, RSI 63",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,73.36,69.82,80.07,1.9,1.49,0.86,117.0,8583.0,0,0,False
AEO,Consumer Cyclical,BUY_PULLBACK,BUY_PULLBACK,23,25.48,6.3,126927172,0.94,60.7,4.12,24.5,종목 -1.3% vs SPY -1.5%,10.5,SMA50(25.34) 눌림 후 반등(필터 통과),25.48 부근 분할 또는 직전 고가 상향 시,SMA50(25.34) 이탈 또는 Stop 23.38,"MACD 완만개선, RSI 61",,RSI 60.7,25.48,23.38,29.31,1.83,1.1,0.74,197.0,5020.0,0,1,False
AWK,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,66,133.5,38.1,223408980,1.82,54.9,2.75,50.5,,14.1,트리거: 133.73 상향 돌파(20D High),133.73 돌파+거래량 동반 시,SMA50(129.59) 이탈 또는 Stop 126.15,"20D high 근접, Vol 1.8x, MACD 상향크로스, RSI 55",CROSS_UP,현재 Vol 1.82x,,,,,-0.06,0.94,,,0,3,False
PSA,Real Estate,WATCH_BREAKOUT,WATCH_BREAKOUT,59,300.35,77.2,359270215,1.48,69.0,2.33,12.3,,6.9,트리거: 297.21 상향 돌파(20D High),297.21 돌파+거래량 동반 시,SMA50(275.43) 이탈 또는 Stop 286.32,"20D high 근접, Vol 1.5x (약), MACD 완만개선, RSI 69",,현재 Vol 1.48x | ✅ 50~100조 선호,,,,,-0.14,0.86,,,1,3,False
CLH,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,57,273.82,21.5,115488886,1.62,69.5,2.27,35.7,,1.0,트리거: 276.51 상향 돌파(20D High),276.51 돌파+거래량 동반 시,SMA50(251.08) 이탈 또는 Stop 261.41,"20D high 근접, Vol 1.6x, MACD 완만개선, RSI 69",,현재 Vol 1.62x,,,,,-0.12,0.88,,,0,3,False
COST,Consumer Defensive,WATCH_BREAKOUT,WATCH_BREAKOUT,52,1018.48,650.7,2472265552,1.05,61.6,2.24,29.2,,5.5,트리거: 1009.62 상향 돌파(20D High),1009.62 돌파+거래량 동반 시,SMA50(923.22) 이탈 또는 Stop 972.87,"20D high 근접, MACD 상향크로스, RSI 62",CROSS_UP,현재 Vol 1.05x,,,,,-0.15,0.85,,,0,3,False
