Ticker,Sector,Entry,Score,Close,MktCap_KRW_T,Avg$Vol,VolRatio,RSI,ATR%,Trigger,EntryHint,Invalidation,Reasons,Note,EntryPrice,StopPrice,TargetPrice,RR,Shares,PosValue,MktPref,P
ARM,Technology,BUY_BREAKOUT,70,123.7,192.3,942599289,1.78,67.7,5.82,20D High 124.31 돌파 + Vol 1.78x,124.31 위에서 분할(돌파 유지 시),SMA50(118.60) 이탈 또는 Stop 109.30,"20D high 근접, Vol 1.8x, MACD 개선, RSI 68",돌파 실패(되밀림) 주의,124.31,109.3,153.0,1.91,27.0,3356.37,0,0
WBD,Communication Services,BUY_PULLBACK,43,27.36,99.3,693241302,1.36,32.3,1.76,SMA50(27.74) 눌림 후 반등,27.36 부근 분할 또는 직전 고가 상향 시,SMA50(27.74) 이탈 또는 Stop 26.40,"Vol 1.4x, MACD 개선",RSI 32.3 | ✅ 50~100조 선호,27.36,26.4,30.0,2.74,431.0,11792.16,1,1
AVGO,Technology,BUY_PULLBACK,20,332.92,2307.9,9245787659,1.18,40.2,4.82,SMA20(332.46) 눌림 후 반등,332.92 부근 분할 또는 직전 고가 상향 시,SMA20(332.46) 이탈 또는 Stop 300.82,RSI 40,RSI 40.2,332.92,300.82,414.61,2.54,12.0,3995.04,0,1
SRE,Utilities,BUY_PULLBACK,28,87.36,83.5,413126056,1.01,27.6,2.33,SMA20(87.92) 눌림 후 반등,87.36 부근 분할 또는 직전 고가 상향 시,SMA20(87.92) 이탈 또는 Stop 83.29,MACD 개선,RSI 27.6 | ✅ 50~100조 선호,87.36,83.29,95.05,1.89,101.0,8823.36,1,1
VLO,Energy,WATCH_BREAKOUT,58,202.68,92.2,638364438,0.84,71.7,3.49,트리거: 203.14 상향 돌파(20D High),203.14 돌파+거래량 동반 시,SMA50(177.45) 이탈 또는 Stop 188.52,"20D high 근접, MACD 개선, RSI 72",현재 Vol 0.84x | ✅ 50~100조 선호,,,,,,,1,2
COST,Consumer Defensive,WATCH_BREAKOUT,50,1001.16,650.7,2556163565,0.89,63.7,2.0,트리거: 1001.37 상향 돌파(20D High),1001.37 돌파+거래량 동반 시,SMA50(914.94) 이탈 또는 Stop 961.18,"20D high 근접, MACD 개선, RSI 64",현재 Vol 0.89x,,,,,,,0,2
BAC,Financial Services,WATCH_BREAKOUT,50,56.53,604.4,2204443159,1.03,71.1,1.96,트리거: 56.87 상향 돌파(20D High),56.87 돌파+거래량 동반 시,SMA50(54.29) 이탈 또는 Stop 54.31,"20D high 근접, MACD 개선, RSI 71",현재 Vol 1.03x,,,,,,,0,2
CAT,Industrials,WATCH_BREAKOUT,50,726.2,498.1,1903320927,1.17,67.7,3.66,트리거: 727.40 상향 돌파(20D High),727.40 돌파+거래량 동반 시,SMA50(615.45) 이탈 또는 Stop 673.02,"20D high 근접, MACD 개선, RSI 68",현재 Vol 1.17x,,,,,,,0,2
ETN,Industrials,WATCH_BREAKOUT,50,373.82,213.1,1123873622,0.96,68.2,3.44,트리거: 377.12 상향 돌파(20D High),377.12 돌파+거래량 동반 시,SMA50(335.91) 이탈 또는 Stop 348.13,"20D high 근접, MACD 개선, RSI 68",현재 Vol 0.96x,,,,,,,0,2
COP,Energy,WATCH_BREAKOUT,50,107.62,194.7,917291843,0.74,68.6,2.72,트리거: 108.44 상향 돌파(20D High),108.44 돌파+거래량 동반 시,SMA50(96.08) 이탈 또는 Stop 101.76,"20D high 근접, MACD 개선, RSI 69",현재 Vol 0.74x,,,,,,,0,2
