Ticker,Sector,Entry,EntryRaw,Score,Close,MktCap_KRW_T,Avg$Vol,VolRatio,RSI,ATR%,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,RR,Shares,PosValue,MktPref,P,Promoted
NI,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,60,44.73,31.0,204027643,1.32,63.8,1.68,트리거: 44.95 상향 돌파(20D High),44.95 돌파+거래량 동반 시,SMA50(42.66) 이탈 또는 Stop 43.22,"20D high 근접, Vol 1.3x (약), MACD 상향크로스, RSI 64",CROSS_UP,현재 Vol 1.32x,,,,,,,0,2,False
AEE,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,57,105.78,41.9,171131202,1.56,57.9,1.63,트리거: 106.17 상향 돌파(20D High) | 품질: close_not_confirm(need>106.28),106.17 위 '종가확인' + 거래량 유지 시,SMA50(101.37) 이탈 또는 Stop 102.33,"20D high 근접, Vol 1.6x, MACD 완만개선, RSI 58",,현재 Vol 1.56x (BUY 기준 1.5x),,,,,,,0,2,False
DTE,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,52,137.84,41.9,242157139,0.71,52.3,1.95,트리거: 138.47 상향 돌파(20D High),138.47 돌파+거래량 동반 시,SMA50(132.15) 이탈 또는 Stop 132.47,"20D high 근접, MACD 상향크로스, RSI 52",CROSS_UP,현재 Vol 0.71x,,,,,,,0,2,False
CF,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,52,96.31,22.8,209770897,0.67,58.5,3.13,트리거: 95.21 상향 돌파(20D High),95.21 돌파+거래량 동반 시,SMA50(83.58) 이탈 또는 Stop 90.28,"20D high 근접, MACD 상향크로스, RSI 58",CROSS_UP,현재 Vol 0.67x,,,,,,,0,2,False
DIA,Unknown,WATCH_BREAKOUT,WATCH_BREAKOUT,51,501.9,59.6,3443117918,1.17,63.2,1.18,트리거: 502.16 상향 돌파(20D High),502.16 돌파+거래량 동반 시,SMA50(487.47) 이탈 또는 Stop 490.06,"20D high 근접, MACD 완만개선, RSI 63",,현재 Vol 1.17x | ✅ 50~100조 선호,,,,,,,1,2,False
KMB,Consumer Defensive,WATCH_BREAKOUT,WATCH_BREAKOUT,51,105.88,51.4,697727953,0.92,71.0,2.19,트리거: 105.04 상향 돌파(20D High),105.04 돌파+거래량 동반 시,SMA50(101.70) 이탈 또는 Stop 101.24,"20D high 근접, MACD 완만개선, RSI 71",,현재 Vol 0.92x | ✅ 50~100조 선호,,,,,,,1,2,False
EA,Communication Services,WATCH_BREAKOUT,WATCH_BREAKOUT,51,202.58,74.2,618193179,0.93,44.5,0.8,트리거: 204.60 상향 돌파(20D High),204.60 돌파+거래량 동반 시,SMA50(203.49) 이탈 또는 Stop 199.36,"20D high 근접, MACD 완만개선, RSI 45",,현재 Vol 0.93x | ✅ 50~100조 선호,,,,,,,1,2,False
DHI,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,51,162.28,69.2,522505288,0.97,55.8,3.57,트리거: 161.93 상향 돌파(20D High),161.93 돌파+거래량 동반 시,SMA50(152.84) 이탈 또는 Stop 150.68,"20D high 근접, MACD 완만개선, RSI 56",,현재 Vol 0.97x | ✅ 50~100조 선호,,,,,,,1,2,False
O,Real Estate,WATCH_BREAKOUT,WATCH_BREAKOUT,51,63.9,85.0,391800378,0.87,62.6,1.56,트리거: 63.90 상향 돌파(20D High),63.90 돌파+거래량 동반 시,SMA50(58.98) 이탈 또는 Stop 61.91,"20D high 근접, MACD 완만개선, RSI 63",,현재 Vol 0.87x | ✅ 50~100조 선호,,,,,,,1,2,False
LH,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,51,284.5,34.6,223873406,1.23,69.7,2.04,트리거: 281.99 상향 돌파(20D High),281.99 돌파+거래량 동반 시,SMA50(262.82) 이탈 또는 Stop 272.91,"20D high 근접, Vol 1.2x (약), MACD 완만개선, RSI 70",,현재 Vol 1.23x,,,,,,,0,2,False
UCTT,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,45,54.33,3.6,56435916,2.1,62.2,6.78,트리거: 51.22 상향 돌파(20D High) | 품질: upper_wick_high(0.84),51.22 위 '종가확인' + 거래량 유지 시,SMA50(34.52) 이탈 또는 Stop 46.97,"Vol 2.1x (강함), MACD 상향크로스, RSI 62",CROSS_UP,현재 Vol 2.10x (BUY 기준 1.5x),,,,,,,0,2,False
ICHR,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,45,45.27,2.3,43335800,4.42,69.9,7.45,트리거: 34.94 상향 돌파(20D High) | 품질: gap_atr_high(2.40),34.94 위 '종가확인' + 거래량 유지 시,SMA50(23.93) 이탈 또는 Stop 38.52,"Vol 4.4x (강함), MACD 상향크로스, RSI 70",CROSS_UP,현재 Vol 4.42x (BUY 기준 1.5x),,,,,,,0,2,False
SPY,Unknown,WATCH_BREAKOUT,WATCH_BREAKOUT,43,692.12,927.9,59296635760,0.76,56.3,1.13,트리거: 697.84 상향 돌파(20D High),697.84 돌파+거래량 동반 시,SMA50(687.16) 이탈 또는 Stop 676.54,"20D high 근접, MACD 완만개선, RSI 56",,현재 Vol 0.76x,,,,,,,0,2,False
TSM,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,43,361.91,2850.7,5240209122,0.94,68.9,3.41,트리거: 359.60 상향 돌파(20D High),359.60 돌파+거래량 동반 시,SMA50(315.81) 이탈 또는 Stop 337.26,"20D high 근접, MACD 완만개선, RSI 69",,현재 Vol 0.94x,,,,,,,0,2,False
HD,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,43,389.68,561.3,1627262109,0.74,54.2,2.15,트리거: 391.78 상향 돌파(20D High),391.78 돌파+거래량 동반 시,SMA50(363.97) 이탈 또는 Stop 372.91,"20D high 근접, MACD 완만개선, RSI 54",,현재 Vol 0.74x,,,,,,,0,2,False
LOW,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,43,284.67,228.6,793338200,0.97,59.6,2.15,트리거: 281.36 상향 돌파(20D High),281.36 돌파+거래량 동반 시,SMA50(258.08) 이탈 또는 Stop 272.41,"20D high 근접, MACD 완만개선, RSI 60",,현재 Vol 0.97x,,,,,,,0,2,False
PH,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,43,991.57,180.4,705890057,1.01,66.5,2.1,트리거: 989.13 상향 돌파(20D High),989.13 돌파+거래량 동반 시,SMA50(910.91) 이탈 또는 Stop 949.87,"20D high 근접, MACD 완만개선, RSI 66",,현재 Vol 1.01x,,,,,,,0,2,False
EXAS,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,43,103.35,28.7,252334242,0.82,68.8,0.37,트리거: 103.42 상향 돌파(20D High),103.42 돌파+거래량 동반 시,SMA50(101.93) 이탈 또는 Stop 102.58,"20D high 근접, MACD 완만개선, RSI 69",,현재 Vol 0.82x,,,,,,,0,2,False
MOS,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,43,30.12,14.0,198492238,0.77,65.7,3.42,트리거: 29.70 상향 돌파(20D High),29.70 돌파+거래량 동반 시,SMA50(25.93) 이탈 또는 Stop 28.06,"20D high 근접, MACD 완만개선, RSI 66",,현재 Vol 0.77x,,,,,,,0,2,False
HST,Real Estate,WATCH_BREAKOUT,WATCH_BREAKOUT,43,19.93,20.3,160204498,0.72,71.3,2.0,트리거: 19.58 상향 돌파(20D High),19.58 돌파+거래량 동반 시,SMA50(18.35) 이탈 또는 Stop 19.13,"20D high 근접, MACD 완만개선, RSI 71",,현재 Vol 0.72x,,,,,,,0,2,False
IFF,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,43,76.76,28.8,121076184,1.07,66.9,2.63,트리거: 75.26 상향 돌파(20D High),75.26 돌파+거래량 동반 시,SMA50(68.94) 이탈 또는 Stop 72.73,"20D high 근접, MACD 완만개선, RSI 67",,현재 Vol 1.07x,,,,,,,0,2,False
DLR,Real Estate,WATCH_BREAKOUT,WATCH_BREAKOUT,41,172.53,87.9,338113754,1.05,77.8,2.59,트리거: 173.90 상향 돌파(20D High),173.90 돌파+거래량 동반 시,SMA50(159.24) 이탈 또는 Stop 163.59,"20D high 근접, MACD 완만개선",,현재 Vol 1.05x | ✅ 50~100조 선호,,,,,,,1,2,False
MTB,Financial Services,WATCH_BREAKOUT,WATCH_BREAKOUT,41,236.21,54.0,300604834,0.66,76.2,1.92,트리거: 238.55 상향 돌파(20D High),238.55 돌파+거래량 동반 시,SMA50(210.53) 이탈 또는 Stop 227.15,"20D high 근접, MACD 완만개선",,현재 Vol 0.66x | ✅ 50~100조 선호,,,,,,,1,2,False
