Ticker,Sector,Entry,EntryRaw,Score,Close,MktCap_KRW_T,Avg$Vol,VolRatio,RSI,ATR%,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,RR,EV,Prob,Shares,PosValue,MktPref,P,Promoted
AIG,Financial Services,BUY_BREAKOUT,BUY_BREAKOUT,35,78.44,60.8,350598382,1.61,72.8,2.32,20D High 77.52 돌파 + Vol 1.61x (기준 1.5x),78.44 위에서 분할(돌파 유지 시),SMA50(78.56) 이탈 또는 Stop 74.80,"Vol 1.6x, MACD 완만개선",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입 | ✅ 50~100조 선호,78.44,74.8,87.29,2.43,1.66,0.78,114.0,8942.0,1,0,False
NXPI,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,68,249.75,87.3,796537400,1.41,57.6,4.22,트리거: 243.46 상향 돌파(20D High),243.46 돌파+거래량 동반 시,SMA50(229.51) 이탈 또는 Stop 228.68,"20D high 근접, Vol 1.4x (약), MACD 상향크로스, RSI 58",CROSS_UP,현재 Vol 1.41x | ✅ 50~100조 선호,,,,,-0.1,0.9,,,1,2,False
MCHP,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,59,80.75,60.9,812808552,1.28,60.2,4.49,트리거: 81.43 상향 돌파(20D High),81.43 돌파+거래량 동반 시,SMA50(70.57) 이탈 또는 Stop 73.49,"20D high 근접, Vol 1.3x (약), MACD 완만개선, RSI 60",,현재 Vol 1.28x | ✅ 50~100조 선호,,,,,-0.14,0.86,,,1,2,False
ZTS,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,59,128.67,82.7,579413826,1.5,62.6,2.25,트리거: 129.95 상향 돌파(20D High),129.95 돌파+거래량 동반 시,SMA50(124.14) 이탈 또는 Stop 122.88,"20D high 근접, Vol 1.5x (약), MACD 완만개선, RSI 63",,현재 Vol 1.50x | ✅ 50~100조 선호,,,,,-0.12,0.88,,,1,2,False
DHI,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,59,163.85,69.2,534074116,1.22,61.6,3.45,트리거: 162.60 상향 돌파(20D High),162.60 돌파+거래량 동반 시,SMA50(152.94) 이탈 또는 Stop 152.55,"20D high 근접, Vol 1.2x (약), MACD 완만개선, RSI 62",,현재 Vol 1.22x | ✅ 50~100조 선호,,,,,-0.15,0.85,,,1,2,False
HD,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,52,390.68,561.3,1599488916,0.77,58.5,2.13,트리거: 391.78 상향 돌파(20D High),391.78 돌파+거래량 동반 시,SMA50(364.64) 이탈 또는 Stop 374.01,"20D high 근접, MACD 상향크로스, RSI 58",CROSS_UP,현재 Vol 0.77x,,,,,-0.16,0.84,,,0,2,False
LOW,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,52,287.04,228.6,795213846,1.02,65.3,2.14,트리거: 285.73 상향 돌파(20D High),285.73 돌파+거래량 동반 시,SMA50(258.97) 이탈 또는 Stop 274.77,"20D high 근접, MACD 상향크로스, RSI 65",CROSS_UP,현재 Vol 1.02x,,,,,-0.18,0.82,,,0,2,False
FE,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,52,47.93,40.3,248376962,0.87,59.1,1.82,트리거: 47.94 상향 돌파(20D High),47.94 돌파+거래량 동반 시,SMA50(45.70) 이탈 또는 Stop 46.19,"20D high 근접, MACD 상향크로스, RSI 59",CROSS_UP,현재 Vol 0.87x,,,,,-0.16,0.84,,,0,2,False
POOL,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,52,271.48,14.6,193654324,1.13,54.9,2.53,트리거: 270.21 상향 돌파(20D High),270.21 돌파+거래량 동반 시,SMA50(248.22) 이탈 또는 Stop 257.73,"20D high 근접, MACD 상향크로스, RSI 55",CROSS_UP,현재 Vol 1.13x,,,,,-0.14,0.86,,,0,2,False
DIA,Unknown,WATCH_BREAKOUT,WATCH_BREAKOUT,51,501.33,59.6,3440527579,0.82,59.6,1.19,트리거: 505.30 상향 돌파(20D High),505.30 돌파+거래량 동반 시,SMA50(487.95) 이탈 또는 Stop 489.38,"20D high 근접, MACD 완만개선, RSI 60",,현재 Vol 0.82x | ✅ 50~100조 선호,,,,,-0.22,0.78,,,1,2,False
